itemId,variationId,externalId,stock,price,priceGross
NaN,NaN,2420,40,130,154.7
NaN,NaN,1453,40,10,11.9
NaN,NaN,2422,40,120,142.8
NaN,NaN,2420,40,130,154.7
NaN,NaN,2310,40,13.15,15.65
NaN,NaN,3577,40,102,121.38
NaN,NaN,2330,40,100,119
NaN,NaN,2010,40,99.9,118.88
NaN,NaN,5010,40,100,119
NaN,NaN,1953,40,150,178.5
NaN,NaN,1926,40,320,380.8
NaN,NaN,1506,40,17,20.23
NaN,NaN,1873,0,15.31,18.22
NaN,NaN,1874,26,9.79,11.65
NaN,NaN,1876,0,147.06,175
NaN,NaN,1877,8,4.89,5.82
NaN,NaN,1878,0,29.4,34.99
NaN,NaN,1879,0,97.06,115.5
NaN,NaN,1880,14,19.6,23.32
NaN,NaN,1882,0,266.37,316.98
NaN,NaN,1884,22,19.6,23.32
NaN,NaN,1885,36,29.4,34.99
NaN,NaN,1886,45,6.85,8.15
NaN,NaN,1887,19,14.7,17.49
NaN,NaN,1888,0,24.5,29.16
NaN,NaN,1889,0,18,21.42
NaN,NaN,1890,0,48.76,58.02
NaN,NaN,1891,0,23.91,28.45
NaN,NaN,1892,0,93.75,111.56
NaN,NaN,1895,50,6.85,8.15
NaN,NaN,1897,0,22.15,26.36
NaN,NaN,1898,25,4.89,5.82
NaN,NaN,1899,13,1.46,1.74
NaN,NaN,1900,0,134.23,159.73
NaN,NaN,1901,0,90,107.1
NaN,NaN,1902,6,9.79,11.65
NaN,NaN,1904,20,7.83,9.32
NaN,NaN,1905,1,17.64,20.99
NaN,NaN,1907,0,315.87,375.89
NaN,NaN,1908,0,38.46,45.77
NaN,NaN,1910,0,32.11,38.21
NaN,NaN,1912,56,9.79,11.65
NaN,NaN,1913,70,4.89,5.82
NaN,NaN,1914,12,9.79,11.65
NaN,NaN,1915,24,4.89,5.82
NaN,NaN,1916,2,4.89,5.82
NaN,NaN,1917,0,735.02,874.67
NaN,NaN,1918,41,9.79,11.65
NaN,NaN,1919,70,19.6,23.32
NaN,NaN,1920,22,24.5,29.16
NaN,NaN,1921,29,7.83,9.32
NaN,NaN,1922,0,187.06,222.6
NaN,NaN,1923,147,4.89,5.82
NaN,NaN,1924,5,6.36,7.57
NaN,NaN,1925,5,9.3,11.07
NaN,NaN,1927,3,2.93,3.49
NaN,NaN,1928,13,6.85,8.15
NaN,NaN,1929,53,2.93,3.49
NaN,NaN,1930,48,1.46,1.74
NaN,NaN,1931,0,17.69,21.05
NaN,NaN,1932,14,3.58,4.26
NaN,NaN,1934,0,420,499.8
NaN,NaN,1935,29,4.89,5.82
NaN,NaN,1936,0,3.91,4.65
NaN,NaN,1937,63,11.5,13.69
NaN,NaN,1938,0,2.3,2.74
NaN,NaN,1939,0,28.56,33.99
NaN,NaN,1940,61,6.85,8.15
NaN,NaN,1941,98,15.68,18.66
NaN,NaN,1942,4,12.74,15.16
NaN,NaN,1943,57,8.81,10.48
NaN,NaN,1944,11,9.79,11.65
NaN,NaN,1945,34,6.85,8.15
NaN,NaN,1946,0,393.72,468.53
NaN,NaN,1947,0,204.9,243.83
NaN,NaN,1948,1,511.97,609.24
NaN,NaN,1949,0,426.5,507.54
NaN,NaN,1950,0,12.27,14.6
NaN,NaN,1951,0,8.76,10.42
NaN,NaN,1952,0,6.66,7.93
NaN,NaN,1954,0,30,35.7
NaN,NaN,1955,0,30.97,36.85
NaN,NaN,1956,3,4.89,5.82
NaN,NaN,1957,0,954.95,1136.39
NaN,NaN,1958,0,12.81,15.24
NaN,NaN,1959,0,22.12,26.32
NaN,NaN,1960,10,9.79,11.65
NaN,NaN,1962,0,99.44,118.33
NaN,NaN,1963,0,31.86,37.91
NaN,NaN,1964,4,22.54,26.82
NaN,NaN,1965,0,8.08,9.62
NaN,NaN,1966,3,73.53,87.5
NaN,NaN,1967,0,638,759.22
NaN,NaN,1968,0,16.15,19.22
NaN,NaN,1969,0,24.36,28.99
NaN,NaN,1970,0,37.77,44.95
NaN,NaN,1971,70,19.6,23.32
NaN,NaN,1972,0,230,273.7
NaN,NaN,1973,0,161,191.59
NaN,NaN,1974,51,14.7,17.49
NaN,NaN,1975,0,87.88,104.58
NaN,NaN,1976,1,41,48.79
NaN,NaN,1977,0,7.2,8.57
NaN,NaN,1978,3,7.83,9.32
NaN,NaN,1979,0,7.83,9.32
NaN,NaN,1981,36,18.62,22.16
NaN,NaN,1982,10,13.72,16.33
NaN,NaN,1983,188,9.79,11.65
NaN,NaN,1984,0,32.9,39.15
NaN,NaN,1985,0,45,53.55
NaN,NaN,1986,19,19.6,23.32
NaN,NaN,1987,103,9.79,11.65
NaN,NaN,1988,73,29.4,34.99
NaN,NaN,1989,0,72.9,86.75
NaN,NaN,1995,0,39,46.41
NaN,NaN,1996,0,49,58.31
NaN,NaN,1997,0,49,58.31
NaN,NaN,1998,0,59,70.21
NaN,NaN,1999,0,44,52.36
NaN,NaN,2000,1,29.5,35.11
NaN,NaN,2004,0,12.74,15.16
NaN,NaN,2005,0,5.87,6.99
NaN,NaN,2006,9,18.62,22.16
NaN,NaN,2007,21,8.81,10.48
NaN,NaN,2008,33,14.7,17.49
NaN,NaN,2009,1,14.7,17.49
NaN,NaN,2011,30,2.89,3.44
NaN,NaN,2012,0,12.04,14.32
NaN,NaN,2013,0,17.5,20.83
NaN,NaN,2014,0,54,64.26
NaN,NaN,2015,0,100,119
NaN,NaN,2016,0,38.71,46.06
NaN,NaN,2017,0,70.79,84.24
NaN,NaN,2019,0,11.2,13.33
NaN,NaN,2020,0,3.59,4.27
NaN,NaN,2021,0,31.52,37.51
NaN,NaN,2022,0,19.6,23.32
NaN,NaN,2023,0,6.31,7.51
NaN,NaN,2024,0,8.99,10.7
NaN,NaN,2025,64,3.91,4.65
NaN,NaN,2026,45,3.91,4.65
NaN,NaN,2027,27,3.91,4.65
NaN,NaN,2028,2,32.34,38.48
NaN,NaN,2029,0,238.11,283.35
NaN,NaN,2030,0,99.9,118.88
NaN,NaN,2032,60,440.2,523.84
NaN,NaN,2033,0,489.22,582.17
NaN,NaN,2034,1,12.74,15.16
NaN,NaN,2035,23,39.21,46.66
NaN,NaN,2036,0,26.98,32.11
NaN,NaN,2037,0,29.59,35.21
NaN,NaN,2038,138,57.84,68.83
NaN,NaN,2039,16,52.94,63
NaN,NaN,2040,0,259.16,308.4
NaN,NaN,2041,0,181.58,216.08
NaN,NaN,2042,0,25.7,30.58
NaN,NaN,2043,16,9.79,11.65
NaN,NaN,2044,75,7.83,9.32
NaN,NaN,2045,130,14.7,17.49
NaN,NaN,2046,19,24.5,29.16
NaN,NaN,2047,18,4.89,5.82
NaN,NaN,2048,0,77.55,92.28
NaN,NaN,2049,11,7.83,9.32
NaN,NaN,2050,38,29.4,34.99
NaN,NaN,2052,249,19.6,23.32
NaN,NaN,2053,19,9.79,11.65
NaN,NaN,2054,0,11.72,13.95
NaN,NaN,2055,0,15.32,18.23
NaN,NaN,2056,158,34.3,40.82
NaN,NaN,2057,6,6.85,8.15
NaN,NaN,2058,0,33.32,39.65
NaN,NaN,2059,29,16.66,19.83
NaN,NaN,2060,30,17.64,20.99
NaN,NaN,2061,0,9.79,11.65
NaN,NaN,2062,124,24.5,29.16
NaN,NaN,2063,0,20.4,24.28
NaN,NaN,2064,0,27.02,32.15
NaN,NaN,2065,0,10.83,12.89
NaN,NaN,2066,0,27.02,32.15
NaN,NaN,2067,82,3.91,4.65
NaN,NaN,2068,0,306.79,365.08
NaN,NaN,2069,0,167.97,199.88
NaN,NaN,2070,0,4.5,5.36
NaN,NaN,2071,0,62.16,73.97
NaN,NaN,2072,0,17.49,20.81
NaN,NaN,2073,0,96.5,114.84
NaN,NaN,2074,0,145.9,173.62
NaN,NaN,2075,1,8.16,9.71
NaN,NaN,2076,11,9.79,11.65
NaN,NaN,2077,64,6.85,8.15
NaN,NaN,2078,0,66.99,79.72
NaN,NaN,2079,0,116.67,138.84
NaN,NaN,2080,0,881.76,1049.29
NaN,NaN,2081,0,1469.61,1748.84
NaN,NaN,2082,0,9.01,10.72
NaN,NaN,2083,0,87.25,103.83
NaN,NaN,2084,0,61.9,73.66
NaN,NaN,2085,0,19.9,23.68
NaN,NaN,2086,0,73.83,87.86
NaN,NaN,2087,0,103.87,123.61
NaN,NaN,2088,5,19.6,23.32
NaN,NaN,2092,0,10.9,12.97
NaN,NaN,2093,2,42.67,50.78
NaN,NaN,2094,4,73.47,87.43
NaN,NaN,2095,0,127.29,151.48
NaN,NaN,2096,0,115.17,137.05
NaN,NaN,2097,0,142.38,169.43
NaN,NaN,2098,51,109.56,130.38
NaN,NaN,2099,6,146.08,173.84
NaN,NaN,2100,55,25.48,30.32
NaN,NaN,2101,7,80.68,96.01
NaN,NaN,2102,7,144.13,171.51
NaN,NaN,2103,2,9.5,11.31
NaN,NaN,2104,5,2.89,3.44
NaN,NaN,2105,0,0.99,1.18
NaN,NaN,2106,35,1.36,1.62
NaN,NaN,2107,93,3.1,3.69
NaN,NaN,2108,0,0.99,1.18
NaN,NaN,2109,0,0.2,0.24
NaN,NaN,2111,0,2.5,2.98
NaN,NaN,2113,0,5.95,7.08
NaN,NaN,2114,0,2,2.38
NaN,NaN,2115,11,2.28,2.71
NaN,NaN,2118,0,3.79,4.51
NaN,NaN,2119,0,34.97,41.61
NaN,NaN,2120,155,4.45,5.3
NaN,NaN,2121,44,2.1,2.5
NaN,NaN,2122,0,2.1,2.5
NaN,NaN,2123,0,0.3,0.36
NaN,NaN,2124,0,12.14,14.45
NaN,NaN,2125,0,0.21,0.25
NaN,NaN,2126,0,5,5.95
NaN,NaN,2127,0,5,5.95
NaN,NaN,2128,0,4,4.76
NaN,NaN,2129,41,18.19,21.65
NaN,NaN,2130,0,4.3,5.12
NaN,NaN,2131,0,3,3.57
NaN,NaN,2133,0,4.2,5
NaN,NaN,2134,0,8.1,9.64
NaN,NaN,2135,0,1.19,1.42
NaN,NaN,2136,42,0.24,0.29
NaN,NaN,2137,0,0.16,0.19
NaN,NaN,2139,7,2.5,2.98
NaN,NaN,2140,1019,2.5,2.98
NaN,NaN,2141,0,274.51,326.67
NaN,NaN,2142,5,3.9,4.64
NaN,NaN,2143,8,3.9,4.64
NaN,NaN,2144,0,199,236.81
NaN,NaN,2145,0,124,147.56
NaN,NaN,2147,0,204,242.76
NaN,NaN,2148,5,129,153.51
NaN,NaN,2149,13,149,177.31
NaN,NaN,2151,2,399,474.81
NaN,NaN,2152,0,19.9,23.68
NaN,NaN,2153,0,19.9,23.68
NaN,NaN,2154,14,19.9,23.68
NaN,NaN,2155,0,59,70.21
NaN,NaN,2156,0,19.9,23.68
NaN,NaN,2157,0,4.9,5.83
NaN,NaN,2158,0,1.98,2.36
NaN,NaN,2159,0,2.4,2.86
NaN,NaN,2160,0,129,153.51
NaN,NaN,2161,0,129,153.51
NaN,NaN,2162,0,139,165.41
NaN,NaN,2163,0,184,218.96
NaN,NaN,2164,0,164,195.16
NaN,NaN,2165,0,159,189.21
NaN,NaN,2166,0,280,333.2
NaN,NaN,2167,0,389,462.91
NaN,NaN,2168,14,289,343.91
NaN,NaN,2169,0,399,474.81
NaN,NaN,2170,55,55,65.45
NaN,NaN,2172,21,4.9,5.83
NaN,NaN,2173,0,9.9,11.78
NaN,NaN,2174,20,9.9,11.78
NaN,NaN,2175,0,149,177.31
NaN,NaN,2176,3,4.5,5.36
NaN,NaN,2177,0,296.62,352.98
NaN,NaN,2178,0,793.44,944.19
NaN,NaN,2179,0,834.13,992.61
NaN,NaN,2180,0,293.21,348.92
NaN,NaN,2185,0,149,177.31
NaN,NaN,2186,0,1000.96,1191.14
NaN,NaN,2188,0,49.35,58.73
NaN,NaN,2190,0,40.37,48.04
NaN,NaN,2192,0,239,284.41
NaN,NaN,2195,22,1.95,2.32
NaN,NaN,2196,79,1.95,2.32
NaN,NaN,2199,0,2531.28,3012.22
NaN,NaN,2200,0,90,107.1
NaN,NaN,2201,0,654.04,778.31
NaN,NaN,2202,0,995.72,1184.91
NaN,NaN,2203,0,609.87,725.75
NaN,NaN,2204,25,249,296.31
NaN,NaN,2208,0,1.13,1.34
NaN,NaN,2209,0,101.31,120.56
NaN,NaN,2210,8,9.5,11.31
NaN,NaN,2211,0,14.08,16.76
NaN,NaN,2212,7,12.5,14.88
NaN,NaN,2213,11,9.5,11.31
NaN,NaN,2214,19,16.66,19.83
NaN,NaN,2215,0,889.72,1058.77
NaN,NaN,2216,0,222,264.18
NaN,NaN,2218,5,119,141.61
NaN,NaN,2219,0,28.99,34.5
NaN,NaN,2220,0,3.6,4.28
NaN,NaN,2221,0,118.41,140.91
NaN,NaN,2222,0,136.29,162.19
NaN,NaN,2223,0,84.33,100.35
NaN,NaN,2224,0,109.89,130.77
NaN,NaN,2225,0,13.69,16.29
NaN,NaN,2226,0,10.9,12.97
NaN,NaN,2227,0,21.65,25.76
NaN,NaN,2228,0,3814.93,4539.77
NaN,NaN,2229,0,3677.05,4375.69
NaN,NaN,2230,0,6894.46,8204.41
NaN,NaN,2231,1,48.26,57.43
NaN,NaN,2232,0,189,224.91
NaN,NaN,2233,0,319,379.61
